2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
0.00755 ;0.00696 ;0.00662 ;0.00626 ;0.00576 ;0.00541 ;0.00494 ;0.00467 ;0.00437 ;0.00420 ;0.00386 ;0.00378 ;0.00362 ;0.00357 ;0.00343 ;0.00325 ;0.00315 ;0.00321 ;0.00316 ;0.00311 ;0.00285 ;0.00307 ;0.00319 
0.00044 ;0.00043 ;0.00042 ;0.00041 ;0.00038 ;0.00037 ;0.00036 ;0.00036 ;0.00035 ;0.00033 ;0.00032 ;0.00031 ;0.00030 ;0.00029 ;0.00027 ;0.00026 ;0.00025 ;0.00025 ;0.00025 ;0.00024 ;0.00021 ;0.00021 ;0.00025 
0.00053 ;0.00052 ;0.00051 ;0.00049 ;0.00048 ;0.00047 ;0.00045 ;0.00045 ;0.00044 ;0.00044 ;0.00043 ;0.00043 ;0.00043 ;0.00043 ;0.00041 ;0.00040 ;0.00038 ;0.00036 ;0.00035 ;0.00033 ;0.00031 ;0.00030 ;0.00032 
0.00195 ;0.00198 ;0.00198 ;0.00196 ;0.00192 ;0.00191 ;0.00191 ;0.00190 ;0.00189 ;0.00188 ;0.00189 ;0.00197 ;0.00205 ;0.00214 ;0.00214 ;0.00216 ;0.00215 ;0.00208 ;0.00192 ;0.00166 ;0.00167 ;0.00154 ;0.00145 
0.00302 ;0.00304 ;0.00303 ;0.00301 ;0.00289 ;0.00280 ;0.00275 ;0.00277 ;0.00281 ;0.00284 ;0.00284 ;0.00286 ;0.00285 ;0.00288 ;0.00285 ;0.00288 ;0.00289 ;0.00287 ;0.00275 ;0.00249 ;0.00266 ;0.00261 ;0.00249 
0.00325 ;0.00323 ;0.00321 ;0.00313 ;0.00301 ;0.00290 ;0.00284 ;0.00283 ;0.00284 ;0.00284 ;0.00280 ;0.00279 ;0.00276 ;0.00276 ;0.00273 ;0.00272 ;0.00269 ;0.00262 ;0.00251 ;0.00234 ;0.00253 ;0.00278 ;0.00255 
0.00370 ;0.00364 ;0.00356 ;0.00345 ;0.00331 ;0.00320 ;0.00312 ;0.00308 ;0.00306 ;0.00303 ;0.00301 ;0.00300 ;0.00295 ;0.00292 ;0.00284 ;0.00279 ;0.00271 ;0.00263 ;0.00254 ;0.00244 ;0.00274 ;0.00315 ;0.00265 
0.00447 ;0.00437 ;0.00427 ;0.00418 ;0.00404 ;0.00390 ;0.00376 ;0.00368 ;0.00364 ;0.00359 ;0.00354 ;0.00351 ;0.00346 ;0.00340 ;0.00329 ;0.00320 ;0.00311 ;0.00302 ;0.00292 ;0.00281 ;0.00322 ;0.00403 ;0.00298 
0.00576 ;0.00562 ;0.00547 ;0.00537 ;0.00521 ;0.00506 ;0.00488 ;0.00483 ;0.00476 ;0.00470 ;0.00462 ;0.00454 ;0.00445 ;0.00432 ;0.00420 ;0.00409 ;0.00396 ;0.00383 ;0.00371 ;0.00360 ;0.00420 ;0.00540 ;0.00387 
0.00775 ;0.00760 ;0.00747 ;0.00732 ;0.00714 ;0.00692 ;0.00670 ;0.00655 ;0.00643 ;0.00635 ;0.00627 ;0.00617 ;0.00606 ;0.00589 ;0.00574 ;0.00563 ;0.00546 ;0.00530 ;0.00511 ;0.00497 ;0.00588 ;0.00767 ;0.00526 
0.01068 ;0.01048 ;0.01025 ;0.01008 ;0.00988 ;0.00970 ;0.00943 ;0.00931 ;0.00918 ;0.00908 ;0.00893 ;0.00872 ;0.00853 ;0.00829 ;0.00815 ;0.00801 ;0.00782 ;0.00766 ;0.00748 ;0.00737 ;0.00865 ;0.01089 ;0.00754 
